"practice_id","practice_name","phone","street","city","state","zip_code","website","location_count","source","source_url","call_attempted","call_scenario","call_completed","call_datetime","working_hours_entrypoint","after_hours_entrypoint","working_hours_scheduler_endpoint","after_hours_scheduler_endpoint","confidence"
"1871808923","FORT WAYNE ORTHOPAEDICS, LLC","2604368686","2512 E DUPONT RD SUITE 110","FORT WAYNE","IN","46825","null","9","nppes","https://npiregistry.cms.hhs.gov/provider-view/1871808923","Y","A","Y","13:54","IVR","","Human","","H"
"1699778829","CHIPPEWA VALLEY ORTHOPEDICS AND SPORTS MEDICINE CLINIC SC","7158321400","1200 OAKLEAF WAY SUITE A","ALTOONA","WI","54720","http://www.cvosm.com/","2","nppes","https://npiregistry.cms.hhs.gov/provider-view/1699778829","Y","C","Y","15:57","IVR","Human","Human","Human","H"
"1124021324","DAYTON CHILDREN'S ORTHOPAEDIC CENTER FOR SPINAL & PEDIATRIC CARE, LLC","9376413010","1 CHILDRENS PLZ","DAYTON","OH","45404","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1124021324","Y","B","Y","13:59","Human","","Human","","M"
"1215930490","FAMILY ORTHOPEDIC ASSOCIATES P L C","8107331200","4466 W BRISTOL RD","FLINT","MI","48507","null","5","nppes","https://npiregistry.cms.hhs.gov/provider-view/1215930490","Y","C","N","14:00","","IVR","","Human","L"
"1770586943","NEW WEST ORTHOPAEDIC & SPORTS REHABILITATION LLC","3082372766","2810 W 35TH ST STE 2","KEARNEY","NE","68845","http://newwestpt.com/","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1770586943","Y","B","Y","14:06","Human","","Human","Human","M"
"1386647527","ORTHOPEDIC SURGERY CENTER OF OC LLC","9495150708","22 CORPORATE PLAZA #150","NEWPORT BEACH","CA","92660","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1386647527","Y","A","Y","14:08","IVR","","Human","","H"
"1841293859","ATLANTIC ORTHOPAEDIC GROUP PA","3217689914","2222 S. HARBOR CITY BLVD SUITE 420","MELBOURNE","FL","32901","https://www.atlanticog.com/","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1841293859","Y","C","Y","14:00","","Human","","Human","H"
"1922144831","ORTHO-MEDIC INC.","7878420648","URB.SANTA MARIA MUNOZ RIVERA 1432","PONCE","PR","717","null","2","nppes","https://npiregistry.cms.hhs.gov/provider-view/1922144831","Y","D","Y","14:07","","IVR","","Human","H"
"1558487322","ALLIANCE ORTHOPEDIC LABS, INC.","3015990001","9678 PENNSYLVANIA AVE","UPPER MARLBORO","MD","20772","null","2","nppes","https://npiregistry.cms.hhs.gov/provider-view/1558487322","Y","D","Y","14:10","","Human","","Human","H"
"1306849534","JOINT TECHNOLOGY INC","4053486457","700 N SANTA FE AVE","EDMOND","OK","73003","http://www.revertback.com/","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1306849534","Y","B","Y","14:18","Human","","Human","","M"
